,Country_name,UHC_index_service_coverage,UHC_newborn_and_child_health,UHC_Infectious_diseases,UHC_Non_communicable.diseases,UHC_Service_capacity_and_access,Year,Life_Ladder,Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Positive_affect,Negative_affect,Confidence_in_national_government,Democratic_Quality,Delivery_Quality,Standard_deviation_of_ladder_by_country_year,Standard_deviation_Mean_of_ladder_by_country_year,GINI_index_estimate_average_2000-16,gini_of_household_income_by_wp5_year,Completeness_birth_registration_female(%),Completeness_birth_registration_male(%),GDP_per_capita_(constant 2010 US$),Gini_index(2017),Population_density(per_sq_km),Research_and_development_expenditure(%_of_GDP)
83,New Zealand,87,91,81,76,99,2017,7.32718277,10.49365616,0.95492065,73,0.942279458,0.289705753,0.221887484,0.817431271,0.171716571,0.609015465,1.575009227,2.004671097,1.650335789,0.225234702,NA,0.446442187,100,100,37725.12118,..,18.20629676,1.3657
84,Nicaragua,73,82,62,77,73,2017,6.476356506,8.579500198,0.83804369,67.19999695,0.922162771,0.010300541,0.672963321,0.849764168,0.308447897,0.590425193,-0.382219225,-0.706709802,2.657253265,0.410300642,0.4795,0.442813009,..,..,1957.869573,..,53.05679741,..
85,Niger,37,54,35,65,15,2017,4.615673542,6.830874443,0.582109571,53,0.68355757,-0.017152032,0.777660012,0.731161416,0.426522374,0.601117253,-0.858492196,-0.668969095,2.780397892,0.602381825,0.36875,0.65929687,..,..,532.0892798,..,17.05413436,..
86,Nigeria,42,40,37,78,27,2017,5.321928024,8.582691193,0.733468533,49.29999924,0.825905561,0.113835752,0.834891975,0.724990547,0.235968769,0.558790743,-1.142486572,-0.944861591,2.947903156,0.553916395,0.4155,0.46859923,47,47,2412.367125,..,209.5735597,..
87,Norway,87,95,85,71,100,2017,7.578744888,11.07906151,0.950127661,73.09999847,0.953016818,0.218105063,0.249711379,0.849099994,0.202913806,0.717159748,1.422639132,2.013393879,1.621726036,0.213983461,0.272230769,0.328113139,100,100,91549.03787,27,14.45257595,2.09343
88,Pakistan,45,63,31,54,38,2017,5.830870628,8.524110794,0.690263569,58.09999847,0.712657094,0.030064493,0.713928223,0.586166978,0.308341086,0.557435155,-1.546954513,-0.670003951,1.778067946,0.304940373,0.315125,0.411645055,..,..,1155.363367,..,269.6874818,0.23597
89,Panama,79,83,65,80,89,2017,6.567658901,10.01086235,0.911904812,69.5,0.899573505,-0.160123616,0.840777099,0.832688808,0.242319331,0.390996099,0.455257624,-0.026318185,2.677187681,0.407631963,0.532647059,0.474342674,..,..,11530.07126,49.9,55.24308582,0.14699
90,Paraguay,69,85,58,72,63,2017,5.71329546,9.085571289,0.902042508,65.5,0.891171455,0.018430408,0.809900761,0.902772129,0.231783673,0.381784081,0.037547644,-0.604874909,2.428467274,0.425055444,0.5133125,0.447035611,69,69,5272.57579,48.8,17.28432419,0.14883
91,Peru,77,75,69,83,81,2017,5.710936546,9.412195206,0.830123365,67.80000305,0.826552153,-0.163864419,0.895384133,0.789390862,0.393873721,0.254595339,0.008478746,-0.176697567,2.594314098,0.454271227,0.479647059,0.479469627,..,..,6314.291438,43.3,24.56585703,0.12101
92,Philippines,61,69,53,64,58,2017,5.594270229,8.935796738,0.851028562,61.79999924,0.925703108,-0.146240324,0.711165547,0.768981457,0.340621501,0.83773005,-0.577247143,-0.233417705,2.597185135,0.464258075,NA,0.503399193,91.2,92.3,3042.68678,..,352.7291948,..
93,Poland,75,87,70,58,90,2017,6.201268196,10.21157646,0.881854117,68.90000153,0.830842614,-0.127978221,NA,0.677435517,0.203387797,0.502480447,0.651249409,0.678492665,1.627442837,0.262437105,NA,0.260087878,100,100,15845.2486,29.7,124.0237304,1.03445
94,Portugal,82,92,81,61,97,2017,5.711499214,10.23770332,0.899984837,72.19999695,0.905065656,-0.177407518,0.880970538,0.649151087,0.294272572,0.501088142,1.14347434,1.061786056,2.205086708,0.386078447,0.367538462,0.44552809,100,100,23380.69259,33.8,112.4418211,1.32833
95,Romania,74,75,75,58,91,2017,6.089904785,10.05677509,0.811240137,66.90000153,0.838586688,-0.161854967,0.925658047,0.733730376,0.230836198,0.298341334,0.287310094,0.167793587,2.141298056,0.351614386,0.3658,0.4121176,..,..,11029.25038,36,85.13251912,0.5039
96,Rwanda,57,63,71,71,33,2017,3.10837388,7.525214672,0.516550004,60.5,0.908114851,0.050674845,0.213757217,0.762161076,0.358309627,0.981398344,-0.54128325,0.292252868,2.128731251,0.68483758,0.482,0.714647591,..,..,802.7493532,..,485.648034,..
97,Saudi Arabia,74,73,66,63,100,2017,6.294282436,10.80050182,0.840086281,66,0.814142168,-0.14906089,NA,0.7748757,0.305841893,NA,-1.148168445,0.177424327,2.508923054,0.398603499,NA,0.451889485,..,..,20693.94124,..,15.39717215,..
98,Senegal,45,62,58,70,17,2017,4.683024883,7.812208176,0.743759334,59.20000076,0.686937034,-0.031085404,0.825241864,0.745732069,0.290836066,0.61072278,0.135668606,-0.17547138,2.007637501,0.428705275,0.402333333,0.436694503,75.7,79.1,1495.341888,..,80.08819924,..
